,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/:org.dbunit.ext.netezza.NetezzaMetadataHandler,74,8,0,0,82,CLASS
,/:org.dbunit.ext.netezza.NetezzaDataTypeFactory,77,6,0,0,83,CLASS
,/:org.dbunit.ext.db2.Db2DataTypeFactory,36,10,0,0,46,CLASS
,/:org.dbunit.ext.db2.Db2MetadataHandler,51,8,0,0,59,CLASS
,/:org.dbunit.ext.db2.Db2Connection,11,5,0,0,16,CLASS
,/:org.dbunit.ext.oracle.OracleSdoOrdinateArray,108,10,0,0,118,CLASS
,/:org.dbunit.ext.oracle.OracleSdoPointType,97,9,0,0,106,CLASS
,/:org.dbunit.ext.oracle.OracleSdoGeometry,121,9,0,0,130,CLASS
,/:org.dbunit.ext.oracle.OracleConnection,9,5,0,0,14,CLASS
,/:org.dbunit.ext.oracle.OracleClobDataType,61,11,0,0,72,CLASS
,/:org.dbunit.ext.oracle.OracleDataTypeFactory,79,11,0,0,90,CLASS
,/:org.dbunit.ext.oracle.OracleXMLTypeDataType,21,10,0,0,31,CLASS
,/:org.dbunit.ext.oracle.Oracle10DataTypeFactory,20,8,0,0,28,CLASS
,/:org.dbunit.ext.oracle.OracleSdoElemInfoArray,108,10,0,0,118,CLASS
,/:org.dbunit.ext.oracle.OracleBlobDataType,60,12,0,0,72,CLASS
,/:org.dbunit.ext.oracle.OracleNClobDataType,13,7,0,0,20,CLASS
,/:org.dbunit.ext.oracle.OracleSdoHelper,43,2,0,0,45,CLASS
,/:org.dbunit.ext.oracle.OracleSdoGeometryDataType,216,17,0,0,233,CLASS
,/:org.dbunit.ext.mckoi.MckoiConnection,9,5,0,0,14,CLASS
,/:org.dbunit.ext.mckoi.MckoiDataTypeFactory,43,9,0,0,52,CLASS
,/:org.dbunit.ext.h2.H2Connection,9,5,0,0,14,CLASS
,/:org.dbunit.ext.h2.H2DataTypeFactory,19,14,0,0,33,CLASS
,/:org.dbunit.PrepAndExpectedTestCase,12,2,0,0,14,INTERFACE
,/:org.dbunit.DataSourceBasedDBTestCase,17,4,0,0,21,CLASS
,/:org.dbunit.IOperationListener,18,5,0,0,23,INTERFACE
,/:org.dbunit.DefaultDatabaseTester,9,2,0,0,11,CLASS
,/:org.dbunit.operation.CloseConnectionOperation,22,7,0,0,29,CLASS
,/:org.dbunit.operation.DeleteOperation,43,12,0,0,55,CLASS
,/:org.dbunit.operation.CompositeOperation,31,8,0,0,39,CLASS
,/:org.dbunit.operation.TruncateTableOperation,27,8,0,0,35,CLASS
,/:org.dbunit.operation.DeleteAllOperation,59,15,0,0,74,CLASS
,/:org.dbunit.operation.AbstractOperation,35,14,0,0,49,CLASS
,/:org.dbunit.operation.UpdateOperation,59,12,0,0,71,CLASS
,/:org.dbunit.operation.RefreshOperation,64,20,0,143,227,CLASS
,/:org.dbunit.operation.RefreshOperation$RowOperation,33,0,0,0,33,INNER_CLASS
,/:org.dbunit.operation.RefreshOperation$InsertRowOperation,32,0,0,0,32,INNER_CLASS
,/:org.dbunit.operation.RefreshOperation$UpdateRowOperation,13,0,0,0,13,INNER_CLASS
,/:org.dbunit.operation.RefreshOperation$RowExistOperation,65,0,0,0,65,INNER_CLASS
