projectName; entityName; pattern; metricValue; NOM; NOF; NORM; NSM; NSF; WMC; DIT; NSC; LCOM; SIX; 
collections-3.2.1; org.apache.commons.collections.functors.ExceptionPredicate; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.TransformerUtils; factory; 4; 1.000000; 0.000000; 0.000000; 22.000000; 0.000000; 25.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.WhileClosure; factory; 4; 5.000000; 3.000000; 0.000000; 1.000000; 1.000000; 10.000000; 1.000000; 0.000000; 0.500000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.iterators.TestUnmodifiableMapIterator; factory; 5; 9.000000; 0.000000; 2.000000; 1.000000; 0.000000; 11.000000; 7.000000; 0.000000; 0.000000; 1.556000; 
collections-3.2.1; org.apache.commons.collections.map.TestUnmodifiableMap; factory; 5; 9.000000; 0.000000; 5.000000; 2.000000; 0.000000; 12.000000; 7.000000; 0.000000; 0.000000; 3.889000; 
collections-3.2.1; org.apache.commons.collections.map.PredicatedSortedMap; factory; 7; 8.000000; 0.000000; 0.000000; 1.000000; 1.000000; 9.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.list.TypedList; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.iterators.TestUnmodifiableOrderedMapIterator; factory; 6; 9.000000; 0.000000; 2.000000; 1.000000; 0.000000; 11.000000; 8.000000; 0.000000; 0.000000; 1.778000; 
collections-3.2.1; org.apache.commons.collections.set.PredicatedSet; factory; 6; 2.000000; 0.000000; 0.000000; 1.000000; 1.000000; 3.000000; 4.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.comparators.BooleanComparator; factory; 6; 7.000000; 1.000000; 2.000000; 3.000000; 3.000000; 14.000000; 1.000000; 0.000000; 0.000000; 0.286000; 
collections-3.2.1; org.apache.commons.collections.TestBagUtils; factory; 4; 11.000000; 3.000000; 0.000000; 1.000000; 0.000000; 28.000000; 4.000000; 0.000000; 0.800000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.comparators.TestBooleanComparator; factory; 5; 14.000000; 0.000000; 1.000000; 1.000000; 0.000000; 30.000000; 6.000000; 0.000000; 0.000000; 0.429000; 
collections-3.2.1; org.apache.commons.collections.list.PredicatedList; factory; 7; 12.000000; 0.000000; 0.000000; 1.000000; 1.000000; 14.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.collection.PredicatedCollection; factory; 8; 4.000000; 1.000000; 2.000000; 1.000000; 1.000000; 9.000000; 3.000000; 4.000000; 0.000000; 1.500000; 
collections-3.2.1; org.apache.commons.collections.bag.TransformedSortedBag; factory; 5; 5.000000; 0.000000; 0.000000; 1.000000; 1.000000; 6.000000; 5.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NullIsTruePredicate; factory; 5; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ExceptionFactory; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.AndPredicate; factory; 3; 3.000000; 2.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.list.SynchronizedList; factory; 3; 13.000000; 0.000000; 0.000000; 1.000000; 1.000000; 14.000000; 2.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.ListOrderedMap; factory; 6; 27.000000; 1.000000; 8.000000; 1.000000; 1.000000; 40.000000; 2.000000; 0.000000; 0.000000; 0.593000; 
collections-3.2.1; org.apache.commons.collections.functors.ExceptionClosure; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.UnmodifiableSortedSet; factory; 4; 13.000000; 0.000000; 10.000000; 1.000000; 1.000000; 15.000000; 4.000000; 0.000000; 0.000000; 3.077000; 
collections-3.2.1; org.apache.commons.collections.functors.NotPredicate; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ChainedClosure; factory; 4; 3.000000; 1.000000; 0.000000; 3.000000; 1.000000; 13.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.bag.SynchronizedSortedBag; factory; 4; 6.000000; 0.000000; 0.000000; 1.000000; 1.000000; 7.000000; 3.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.Factory; factory; 2; 1.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1.000000; 0.000000; 7.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.SynchronizedSortedSet; factory; 4; 9.000000; 0.000000; 0.000000; 1.000000; 1.000000; 10.000000; 2.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.AllPredicate; factory; 6; 3.000000; 1.000000; 0.000000; 2.000000; 1.000000; 11.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.TransformedSortedSet; factory; 5; 8.000000; 0.000000; 0.000000; 1.000000; 1.000000; 9.000000; 5.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.FixedSizeSortedMap; factory; 7; 16.000000; 0.000000; 11.000000; 1.000000; 1.000000; 20.000000; 3.000000; 0.000000; 0.000000; 2.062000; 
collections-3.2.1; org.apache.commons.collections.functors.SwitchClosure; factory; 5; 5.000000; 3.000000; 0.000000; 2.000000; 1.000000; 17.000000; 1.000000; 0.000000; 0.500000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NotNullPredicate; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.bag.UnmodifiableSortedBag; factory; 4; 13.000000; 0.000000; 10.000000; 1.000000; 1.000000; 15.000000; 4.000000; 0.000000; 0.000000; 3.077000; 
collections-3.2.1; org.apache.commons.collections.map.FixedSizeMap; factory; 5; 12.000000; 0.000000; 7.000000; 1.000000; 1.000000; 16.000000; 2.000000; 0.000000; 0.000000; 1.167000; 
collections-3.2.1; org.apache.commons.collections.set.TypedSortedSet; factory; 5; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ClosureTransformer; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.FalsePredicate; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.DefaultedMap; factory; 7; 5.000000; 1.000000; 1.000000; 3.000000; 1.000000; 14.000000; 2.000000; 0.000000; 0.000000; 0.400000; 
collections-3.2.1; org.apache.commons.collections.list.LazyList; factory; 3; 3.000000; 1.000000; 2.000000; 1.000000; 1.000000; 8.000000; 4.000000; 0.000000; 0.000000; 2.667000; 
collections-3.2.1; org.apache.commons.collections.map.LazyMap; factory; 4; 5.000000; 1.000000; 1.000000; 2.000000; 1.000000; 10.000000; 2.000000; 1.000000; 0.000000; 0.400000; 
collections-3.2.1; org.apache.commons.collections.bag.TypedBag; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.list.TestSetUniqueList; factory; 5; 20.000000; 1.000000; 6.000000; 2.000000; 0.000000; 30.000000; 7.000000; 0.000000; 0.000000; 2.100000; 
collections-3.2.1; org.apache.commons.collections.collection.UnmodifiableBoundedCollection; factory; 5; 10.000000; 0.000000; 7.000000; 2.000000; 1.000000; 18.000000; 3.000000; 0.000000; 0.000000; 2.100000; 
collections-3.2.1; org.apache.commons.collections.map.PredicatedMap; factory; 6; 8.000000; 2.000000; 3.000000; 1.000000; 1.000000; 16.000000; 3.000000; 1.000000; 0.333000; 1.125000; 
collections-3.2.1; org.apache.commons.collections.functors.FactoryTransformer; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.iterators.TestUnmodifiableListIterator; factory; 5; 8.000000; 2.000000; 3.000000; 1.000000; 0.000000; 10.000000; 7.000000; 0.000000; 1.000000; 2.625000; 
collections-3.2.1; org.apache.commons.collections.iterators.TestUnmodifiableIterator; factory; 4; 6.000000; 2.000000; 1.000000; 1.000000; 0.000000; 8.000000; 6.000000; 0.000000; 1.000000; 1.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ConstantTransformer; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 2.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ChainedTransformer; factory; 4; 3.000000; 1.000000; 0.000000; 3.000000; 1.000000; 13.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.ListUtils; factory; 4; 1.000000; 0.000000; 0.000000; 15.000000; 1.000000; 33.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.IdentityPredicate; factory; 4; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.TestTransformerUtils; factory; 4; 19.000000; 0.000000; 2.000000; 2.000000; 3.000000; 48.000000; 3.000000; 0.000000; 0.000000; 0.316000; 
collections-3.2.1; org.apache.commons.collections.map.UnmodifiableMap; factory; 4; 11.000000; 0.000000; 4.000000; 1.000000; 1.000000; 14.000000; 2.000000; 0.000000; 0.000000; 0.727000; 
collections-3.2.1; org.apache.commons.collections.buffer.BlockingBuffer; factory; 5; 8.000000; 1.000000; 4.000000; 2.000000; 1.000000; 24.000000; 3.000000; 0.000000; 0.000000; 1.500000; 
collections-3.2.1; org.apache.commons.collections.set.PredicatedSortedSet; factory; 7; 8.000000; 0.000000; 0.000000; 1.000000; 1.000000; 9.000000; 5.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.buffer.UnmodifiableBuffer; factory; 3; 11.000000; 0.000000; 8.000000; 1.000000; 1.000000; 13.000000; 3.000000; 0.000000; 0.000000; 2.182000; 
collections-3.2.1; org.apache.commons.collections.collection.SynchronizedCollection; factory; 4; 18.000000; 2.000000; 3.000000; 1.000000; 1.000000; 22.000000; 1.000000; 5.000000; 0.033000; 0.167000; 
collections-3.2.1; org.apache.commons.collections.functors.NullIsExceptionPredicate; factory; 5; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.TestLazySortedMap; factory; 6; 10.000000; 0.000000; 4.000000; 2.000000; 2.000000; 14.000000; 7.000000; 0.000000; 0.000000; 2.800000; 
collections-3.2.1; org.apache.commons.collections.map.UnmodifiableEntrySet; factory; 4; 10.000000; 0.000000; 9.000000; 1.000000; 0.000000; 17.000000; 3.000000; 0.000000; 0.000000; 2.700000; 
collections-3.2.1; org.apache.commons.collections.map.TestTransformedSortedMap; factory; 7; 7.000000; 0.000000; 2.000000; 2.000000; 0.000000; 13.000000; 7.000000; 0.000000; 0.000000; 2.000000; 
collections-3.2.1; org.apache.commons.collections.map.TestUnmodifiableSortedMap; factory; 6; 9.000000; 0.000000; 5.000000; 2.000000; 0.000000; 12.000000; 7.000000; 0.000000; 0.000000; 3.889000; 
collections-3.2.1; org.apache.commons.collections.set.TransformedSet; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 1.000000; 2.000000; 4.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.ListOrderedSet; factory; 5; 19.000000; 1.000000; 10.000000; 3.000000; 1.000000; 38.000000; 4.000000; 0.000000; 0.000000; 2.105000; 
collections-3.2.1; org.apache.commons.collections.bag.TransformedBag; factory; 5; 6.000000; 0.000000; 0.000000; 1.000000; 1.000000; 7.000000; 4.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.PrototypeFactory; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.UnmodifiableSet; factory; 3; 8.000000; 0.000000; 7.000000; 1.000000; 1.000000; 10.000000; 4.000000; 0.000000; 0.000000; 3.500000; 
collections-3.2.1; org.apache.commons.collections.functors.IfClosure; factory; 3; 6.000000; 3.000000; 0.000000; 2.000000; 1.000000; 12.000000; 1.000000; 0.000000; 0.500000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NOPClosure; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.TransformedPredicate; factory; 4; 4.000000; 2.000000; 0.000000; 1.000000; 1.000000; 7.000000; 1.000000; 0.000000; 0.333000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.list.UnmodifiableList; factory; 3; 15.000000; 0.000000; 14.000000; 1.000000; 1.000000; 17.000000; 4.000000; 0.000000; 0.000000; 3.733000; 
collections-3.2.1; org.apache.commons.collections.functors.ExceptionTransformer; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.AnyPredicate; factory; 6; 3.000000; 1.000000; 0.000000; 2.000000; 1.000000; 11.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NullIsFalsePredicate; factory; 5; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.TransformedMap; factory; 3; 10.000000; 2.000000; 3.000000; 2.000000; 1.000000; 17.000000; 3.000000; 1.000000; 0.500000; 0.900000; 
collections-3.2.1; org.apache.commons.collections.functors.ConstantFactory; factory; 3; 3.000000; 1.000000; 0.000000; 1.000000; 2.000000; 5.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.buffer.BoundedBuffer; factory; 5; 8.000000; 2.000000; 4.000000; 2.000000; 1.000000; 18.000000; 3.000000; 0.000000; 0.250000; 1.500000; 
collections-3.2.1; org.apache.commons.collections.map.TransformedSortedMap; factory; 6; 8.000000; 0.000000; 0.000000; 2.000000; 1.000000; 11.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.InstantiateFactory; factory; 4; 4.000000; 4.000000; 0.000000; 1.000000; 1.000000; 20.000000; 1.000000; 0.000000; 0.500000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.collection.TypedCollection; factory; 5; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.TestUnmodifiableOrderedMap; factory; 6; 9.000000; 0.000000; 5.000000; 2.000000; 0.000000; 12.000000; 8.000000; 0.000000; 0.000000; 4.444000; 
collections-3.2.1; org.apache.commons.collections.list.FixedSizeList; factory; 4; 20.000000; 0.000000; 17.000000; 1.000000; 1.000000; 21.000000; 4.000000; 0.000000; 0.000000; 3.400000; 
collections-3.2.1; org.apache.commons.collections.map.TestTransformedMap; factory; 6; 6.000000; 0.000000; 1.000000; 2.000000; 0.000000; 10.000000; 6.000000; 0.000000; 0.000000; 1.000000; 
collections-3.2.1; org.apache.commons.collections.set.SynchronizedSet; factory; 3; 3.000000; 0.000000; 0.000000; 1.000000; 1.000000; 4.000000; 2.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.TestMapUtils; factory; 6; 34.000000; 0.000000; 0.000000; 1.000000; 0.000000; 52.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.UniquePredicate; factory; 4; 2.000000; 1.000000; 0.000000; 1.000000; 1.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap; factory; 6; 17.000000; 1.000000; 13.000000; 1.000000; 0.000000; 20.000000; 5.000000; 0.000000; 0.000000; 3.824000; 
collections-3.2.1; org.apache.commons.collections.set.MapBackedSet; factory; 5; 16.000000; 2.000000; 2.000000; 2.000000; 1.000000; 20.000000; 1.000000; 0.000000; 0.429000; 0.125000; 
collections-3.2.1; org.apache.commons.collections.bag.SynchronizedBag; factory; 3; 7.000000; 0.000000; 0.000000; 1.000000; 1.000000; 8.000000; 2.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.set.TypedSet; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.bag.PredicatedBag; factory; 6; 6.000000; 0.000000; 0.000000; 1.000000; 1.000000; 7.000000; 4.000000; 1.000000; 0.000000; 0.000000; 
