projeto,entidade,metrica,resposta,categoria

=> É um Factory Method

72) xalan-2.7.1,org.apache.xpath.axes.WalkerFactory,7,f
73) xalan-2.7.1,org.apache.xml.serializer.OutputPropertiesFactory,10,f
74) xalan-2.7.1,org.apache.xalan.xsltc.compiler.ObjectFactory,4,f
75) xerces-2.10.0,org.apache.xerces.jaxp.validation.XMLSchemaFactory,6,f
76) xerces-2.10.0,org.apache.html.dom.ObjectFactory,4,f
77) xerces-2.10.0,org.apache.xerces.impl.dv.xs.FullDVFactory,7,f
78) xerces-2.10.0,org.apache.xerces.impl.dv.DTDDVFactory,6,f
79) xerces-2.10.0,org.apache.xerces.parsers.ObjectFactory,4,f
80) xerces-2.10.0,org.apache.xerces.impl.dv.dtd.DTDDVFactoryImpl,8,f
81) xerces-2.10.0,org.apache.xerces.impl.dv.xs.BaseDVFactory,7,f
82) xerces-2.10.0,org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl,17,f
83) xerces-2.10.0,org.apache.xerces.dom.ObjectFactory,4,f
84) xerces-2.10.0,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,8,f
85) xerces-2.10.0,org.apache.xerces.stax.XMLEventFactoryImpl,6,f
86) xerces-2.10.0,org.apache.xml.serialize.SerializerFactory,4,f
87) xerces-2.10.0,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,7,f
88) xerces-2.10.0,org.apache.xerces.xinclude.ObjectFactory,4,f
89) xerces-2.10.0,org.apache.xerces.parsers.CachingParserPool,6,f
90) xerces-2.10.0,org.apache.xerces.impl.xs.models.CMNodeFactory,5,f
91) xerces-2.10.0,org.apache.xerces.dom.DocumentTypeImpl,13,f
92) xerces-2.10.0,org.apache.xerces.jaxp.SAXParserFactoryImpl,7,f
93) xerces-2.10.0,org.apache.xml.serialize.ObjectFactory,4,f
94) xerces-2.10.0,org.apache.xerces.impl.dtd.XMLDTDLoader,4,f
95) xerces-2.10.0,org.apache.xml.serialize.SerializerFactoryImpl,6,f
96) xerces-2.10.0,org.apache.xerces.impl.dv.ObjectFactory,4,f
97) xerces-2.10.0,org.apache.xerces.dom.EntityImpl,5,f
98) xerces-2.10.0,org.apache.xerces.impl.xs.identity.Field,3,f
99) xerces-2.10.0,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,9,f
100) xerces-2.10.0,org.apache.xerces.impl.dv.dtd.XML11DTDDVFactoryImpl,9,f
101) axion-1.0-M2,org.axiondb.jdbc.ConnectionFactory,3,f
102) informa-0.7.0-alpha2,de.nava.informa.utils.poller.Poller$PollerThreadFactory,4,f
103) informa-0.7.0-alpha2,de.nava.informa.utils.cleaner.Cleaner$CleanerThreadFactory,3,f
104) marauroa-3.8.1,marauroa.server.game.db.RPObjectDAO,5,f
105) pmd-4.2.5,net.sourceforge.pmd.sourcetypehandlers.SourceTypeHandlerBroker,3,f
106) pmd-4.2.5,net.sourceforge.pmd.cpd.LanguageFactory,1,f

=> Entidade faz parte de uma implementação de Factory Method

1) axion-1.0-M2,org.axiondb.types.LOBType,6,f
2) collections-3.2.1,org.apache.commons.collections.Factory,2,f
3) collections-3.2.1,org.apache.commons.collections.FactoryUtils,3,f
4) collections-3.2.1,org.apache.commons.collections.TransformerUtils,4,f
5) collections-3.2.1,org.apache.commons.collections.comparators.BooleanComparator,7,f
6) pmd-4.2.5,net.sourceforge.pmd.sourcetypehandlers.JavaTypeHandler,4,f
7) quickserver-1.4.7,org.quickserver.net.server.PoolManager,1,f
8) quickserver-1.4.7,org.quickserver.util.pool.PoolableObject,4,f
9) xalan-2.7.1,org.apache.xalan.xsltc.trax.TemplatesImpl,6,f
10) xalan-2.7.1,org.apache.xalan.xsltc.trax.SmartTransformerFactoryImpl,4,f
11) xalan-2.7.1,org.apache.xalan.xsltc.trax.TransformerFactoryImpl,12,f
12) xalan-2.7.1,org.apache.xalan.processor.TransformerFactoryImpl,8,f
13) xalan-2.7.1,org.apache.xml.dtm.ref.DTMDefaultBaseTraversers,9,f
14) xerces-2.10.0,org.apache.xerces.dom.PSVIDocumentImpl,9,f
15) axion-1.0-M2,org.axiondb.Database,5,f

=> É um Factory Method junto com outro padrão (Decorator)

1) collections-3.2.1,org.apache.commons.collections.map.TypedMap,4,f
2) collections-3.2.1,org.apache.commons.collections.map.MultiValueMap,6,f
3) collections-3.2.1,org.apache.commons.collections.map.UnmodifiableOrderedMap,5,f
4) collections-3.2.1,org.apache.commons.collections.list.SetUniqueList,5,f
5) collections-3.2.1,org.apache.commons.collections.list.TransformedList,5,f
6) collections-3.2.1,org.apache.commons.collections.map.LazySortedMap,5,f
7) collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableBidiMap,5,f
8) collections-3.2.1,org.apache.commons.collections.set.PredicatedSet,6,f
9) collections-3.2.1,org.apache.commons.collections.list.PredicatedList,7,f
10) collections-3.2.1,org.apache.commons.collections.bag.TransformedSortedBag,5,f
11) collections-3.2.1,org.apache.commons.collections.list.SynchronizedList,3,f
12) collections-3.2.1,org.apache.commons.collections.set.UnmodifiableSortedSet,4,f
13) collections-3.2.1,org.apache.commons.collections.functors.NotPredicate,3,f
14) collections-3.2.1,org.apache.commons.collections.functors.NullIsTruePredicate,5,f
15) collections-3.2.1,org.apache.commons.collections.functors.AndPredicate,3,f
16) collections-3.2.1,org.apache.commons.collections.functors.TransformerPredicate,4,f
17) collections-3.2.1,org.apache.commons.collections.set.SynchronizedSortedSet,4,f
18) collections-3.2.1,org.apache.commons.collections.functors.AllPredicate,6,f
19) collections-3.2.1,org.apache.commons.collections.bag.UnmodifiableSortedBag,4,f
20) collections-3.2.1,org.apache.commons.collections.map.FixedSizeMap,5,f
21) collections-3.2.1,org.apache.commons.collections.set.TypedSortedSet,5,f
22) collections-3.2.1,org.apache.commons.collections.map.DefaultedMap,7,f
23) collections-3.2.1,org.apache.commons.collections.list.LazyList,3,f
24) collections-3.2.1,org.apache.commons.collections.map.LazyMap,4,f
25) collections-3.2.1,org.apache.commons.collections.bag.TypedBag,4,f
26) collections-3.2.1,org.apache.commons.collections.collection.UnmodifiableBoundedCollection,5,f
27) collections-3.2.1,org.apache.commons.collections.map.UnmodifiableMap,4,f
28) collections-3.2.1,org.apache.commons.collections.buffer.BlockingBuffer,5,f
29) collections-3.2.1,org.apache.commons.collections.buffer.UnmodifiableBuffer,3,f
30) collections-3.2.1,org.apache.commons.collections.collection.SynchronizedCollection,4,f
31) collections-3.2.1,org.apache.commons.collections.map.UnmodifiableEntrySet,4,f
32) collections-3.2.1,org.apache.commons.collections.set.TransformedSet,4,f
33) collections-3.2.1,org.apache.commons.collections.set.ListOrderedSet,5,f
34) collections-3.2.1,org.apache.commons.collections.bag.TransformedBag,5,f
35) collections-3.2.1,org.apache.commons.collections.set.UnmodifiableSet,3,f
